drug_name,side_effects,generic_name,drug_classes,brand_names
simvastatin,"signs of a kidney problem - little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common simvastatin side effects may include: headache; constipation, nausea, stomach pain; or cold symptoms such as stuffy nose, sneezing, sore throat.",simvastatin,Statins,Zocor
ezetimibe,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ezetimibe can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Side effects may be more likely in older adults. Common ezetimibe side effects may include: diarrhea ; cold symptoms such as stuffy nose, sneezing, sore throat ; pain in an arm or leg; joint pain; or muscle pain while taking ezetimibe with a statin.",ezetimibe,Cholesterol absorption inhibitors,Zetia
evolocumab,"Evolocumab can cause serious side effects including: Serious Allergic Reactions . Some people taking evolocumab have had serious allergic reactions. Stop taking evolocumab and call your healthcare provider or seek emergency medical help right away if you or your child have any of these symptoms: trouble breathing or swallowing raised bumps (hives) rash, or itching swelling of the face, lips, tongue, throat or arms The most common side effects of evolocumab include: runny nose, sore throat, symptoms of the common cold, flu or flu-like symptoms, back pain, high blood sugar levels (diabetes) and redness, pain, or bruising at the injection site. Tell your healthcare provider if you or your child have any side effect that bothers you or that does not go away. These are not all the possible side effects of evolocumab. Ask your healthcare provider or pharmacist for more information. Call your healthcare provider for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Evolocumab side effects",evolocumab Brand name: Repatha,PCSK9 inhibitors,Repatha
rosuvastatin,"Serious side effects of rosuvastatin include: Muscle pain, tenderness and weakness (myopathy). Muscle problems, including muscle breakdown, can be serious in some people and rarely cause kidney damage that can lead to death. Tell your doctor right away if: you have unexplained muscle pain, tenderness, or weakness, especially if you have a fever or feel more tired than usual, while you take this medication. you have muscle problems that do not go away even after your doctor has told you to stop taking this medication. Your doctor may do further tests to diagnose the cause of your muscle problems. Your chances of getting muscle problems are higher if you: are taking certain other medicines while you take rosuvastatin are 65 years of age or older have thyroid problems (hypothyroidism) that are not controlled have kidney problems are taking higher doses of this medication Liver problems. Your doctor should do blood tests to check your liver before you start taking this medication and if you have symptoms of liver problems while you taking it. Call your doctor right away if you have any of the following symptoms of liver problems: feel unusually tired or weak loss of appetite upper belly pain dark urine yellowing of your skin or the whites of your eyes The most common side effects of rosuvastain may include: headache muscle aches and pains abdominal pain weakness nausea Additional side effects that have been reported with rosuvastatin include memory loss and confusion. Tell your doctor if you have any side effect that bothers you or that does not go away. These are not all the possible side effects. For more information, ask your doctor or pharmacist. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Rosuvastatin side effects","rosuvastatin Brand names: Crestor , Ezallor Sprinkle",Statins,Crestor
pravastatin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, pravastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Call your doctor right away if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common pravastatin side effects may include: muscle or joint pain; nausea , vomiting , diarrhea ; headache ; or cold symptoms such as stuffy nose, sneezing, sore throat .",pravastatin,Statins,Pravachol
lovastatin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lovastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of lovastatin may include: infections; headache ; or accidental injury.",lovastatin,Statins,"Altoprev, Mevacor, Altocor"
gemfibrozil,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, gemfibrozil can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Also call your doctor at once if you have: sharp pain in your upper stomach (especially after eating); jaundice (yellowing of your skin or eyes); pain or burning when you urinate; blurred vision, eye pain , or seeing halos around lights; or low blood cell counts - pale skin, easy bruising, unusual bleeding, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. Common gemfibrozil side effects may include: stomach pain, indigestion , diarrhea ; numbness or tingly feeling; dizziness , drowsiness; blurred vision; muscle or joint pain; or loss of interest in sex, impotence .",gemfibrozil,Fibric acid derivatives,Lopid
Livalo,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, Livalo can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark urine. Also call your doctor at once if you have: confusion, memory problems; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; kidney problems - vomiting, pain in your side or lower back, little or no urinating, swelling, rapid weight gain; or liver problems - loss of appetite, stomach pain (upper right side), tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common Livalo side effects may include: muscle pain; pain in your arms or legs; back pain; or diarrhea, constipation.",pitavastatin,Statins,Zypitamag
niacin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; unexplained muscle pain, tenderness or weakness; a light-headed feeling, like you might pass out; irregular heartbeats; severe warmth or redness under your skin; vision problems; or jaundice (yellowing of the skin or eyes). Common niacin side effects may include: flushing (sudden warmth, redness, or tingly feeling); upset stomach , nausea, vomiting , diarrhea ; abnormal liver function tests ; itching, rash, dry skin ; cough; skin discoloration; or headache .",niacin (nicotinic acid),"Miscellaneous antihyperlipidemic agents, Vitamins","Niacor, Niaspan ER, Slo-Niacin"
Altocor,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Altocor and call your doctor at once if you have any of these serious side effects: muscle pain, tenderness, or weakness with fever or flu symptoms and dark colored urine. Less serious side effects may include: mild stomach pain, gas, bloating, stomach upset, heartburn; nausea; constipation; or diarrhea.",lovastatin,Statins,"Altoprev, Mevacor"
Niaspan,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have any of these serious side effects: feeling like you might pass out; fast, pounding, or uneven heart beats; feeling short of breath; swelling; jaundice (yellowing of your skin or eyes); or muscle pain, tenderness, or weakness with fever or flu symptoms and dark colored urine. If you are diabetic, tell your doctor about any changes in your blood sugar levels. Less serious Niaspan ER side effects include: mild dizziness; warmth, redness, or tingly feeling under your skin; itching, dry skin; sweating or chills; nausea, diarrhea, belching, gas; muscle pain, leg cramps; or sleep problems (insomnia).",niacin (nicotinic acid),"Miscellaneous antihyperlipidemic agents, Vitamins","Niacor, Slo-Niacin"
ezetimibe / simvastatin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. ezetimibe and simvastatin may cause serious side effects. Stop using ezetimibe and simvastatin and call your doctor at once if you have: unexplained muscle pain, tenderness, or weakness; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; fever, unusual tiredness; upper stomach pain, loss of appetite; dark colored urine; or jaundice (yellowing of the skin or eyes). Common side effects of ezetimibe and simvastatin may include: headache ; muscle pain; abnormal liver function tests; diarrhea ; or cold symptoms such as stuffy nose, sneezing, sore throat .",ezetimibe and simvastatin,Antihyperlipidemic combinations,Vytorin
fenofibric acid,"sharp stomach pain spreading to your back or shoulder blade; loss of appetite, stomach pain just after eating a meal; jaundice (yellowing of the skin or eyes); fever, chills, weakness, sore throat, mouth sores, unusual bruising or bleeding; chest pain, sudden cough, wheezing, rapid breathing, coughing up blood ; or swelling, warmth, or redness in an arm or leg. Common side effects of fenofibric acid may include: runny nose , sneezing; or abnormal laboratory tests.",fenofibric acid,Fibric acid derivatives,"Fibricor, Trilipix"
colesevelam,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Colesevelam may cause serious side effects. Stop using colesevelam and call your doctor at once if you have: severe constipation; severe stomach pain; or pancreatitis--severe pain in your upper stomach spreading to your back, nausea and vomiting . Common side effects of colesevelam may include: constipation; nausea ; or upset stomach .",colesevelam,Bile acid sequestrants,Welchol
Ezallor,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ezallor Sprinkle may cause serious side effects. Call your doctor at once if you have: unexplained muscle pain, tenderness, or weakness; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; confusion, memory problems; or liver problems--upper stomach pain, tiredness, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of Ezallor Sprinkle may include: headache ; weakness; muscle aches; or nausea , stomach pain.",rosuvastatin,Statins,Crestor
pitavastatin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, pitavastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: confusion, memory problems; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; kidney problems-- vomiting , pain in your side or lower back, little or no urinating, swelling, rapid weight gain; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of pitavastatin may include: muscle pain; pain in your arms or legs; back pain ; or diarrhea , constipation .",pitavastatin,Statins,"Livalo, Zypitamag"
fluvastatin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, fluvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; signs of a kidney problem--little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or liver problems--upper stomach pain, loss of appetite, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of fluvastatin may include: muscle pain; headache ; or stomach pain, nausea , or indigestion .",fluvastatin,Statins,"Lescol, Lescol XL"
Lescol XL,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, Lescol XL can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; signs of a kidney problem--little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or liver problems--upper stomach pain, loss of appetite, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of Lescol XL may include: muscle pain; headache ; or stomach pain, nausea , or indigestion .",fluvastatin,Statins,Lescol
mycophenolate mofetil,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mycophenolate mofetil may cause a serious brain infection that can lead to disability or death. Call your doctor right away if you have problems with speech, thought, vision, or muscle movement. These symptoms may start gradually and get worse quickly. Mycophenolate mofetil affects your immune system and may increase your risk of cancer or serious infection. Call your doctor right away if you have: fever of 100.5 degrees F or higher, swollen glands, painful mouth sores, cold or flu symptoms, headache , ear pain, loss of smell or taste, stomach pain, vomiting , diarrhea , weight loss ; weakness on one side of your body, loss of muscle control, confusion, thinking problems, loss of interest in things that normally interest you; pain around the transplanted kidney, pain or burning when you urinate, dark urine, jaundice (yellowing of the skin or eyes); tingly or painful blistering rash on one side of your body, swelling, warmth, redness, or oozing around a skin wound; or a new skin lesion, or a mole that has changed in size or color. Also call your doctor at once if you have: bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds, fever, joint stiffness and pain, and muscle pain; or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of mycophenolate mofetil may include: stomach pain, nausea , vomiting, diarrhea, constipation , swelling in your ankles or feet, rash, pain anywhere in your body; headache, dizziness , tremors, fever, sore throat , cold symptoms , or other signs of infections; or abnormal blood tests, high blood sugar, high or low blood pressure , fast heart rate .",mycophenolate mofetil (oral/injection),Selective immunosuppressants,CellCept
Trilipix,"sharp stomach pain spreading to your back or shoulder blade; loss of appetite, stomach pain just after eating a meal; jaundice (yellowing of the skin or eyes); fever, chills, weakness, sore throat, mouth sores, unusual bruising or bleeding; chest pain, sudden cough, wheezing, rapid breathing, coughing up blood ; or swelling, warmth, or redness in an arm or leg. Common Trilipix side effects may include: runny nose , sneezing; or abnormal laboratory tests.",fenofibric acid,Fibric acid derivatives,Fibricor
ezetimibe / rosuvastatin,"hives , rash, itching; wheezing, dizziness , difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: unexplained muscle pain, tenderness, or weakness (especially if you also have fever); upper stomach pain, loss of appetite; severe weakness or tiredness; dark colored urine; or jaundice (yellowing of the skin or eyes). Common side effects of ezetimibe and rosuvastatin may include: headache , dizziness; stomach pain, nausea , diarrhea , constipation ; muscle or joint pain; pain in your hands, legs, or back; feeling weak or tired; or cold symptoms such as stuffy nose, sneezing, sinus pain, sore throat .",ezetimibe and rosuvastatin,Antihyperlipidemic combinations,Roszet
Fibricor,"sharp stomach pain spreading to your back or shoulder blade; loss of appetite, stomach pain just after eating a meal; jaundice (yellowing of the skin or eyes); fever, chills, weakness, sore throat, mouth sores, unusual bruising or bleeding; chest pain, sudden cough, wheezing, rapid breathing, coughing up blood ; or swelling, warmth, or redness in an arm or leg. Common side effects of Fibricor may include: runny nose , sneezing; or abnormal laboratory tests.",fenofibric acid,Fibric acid derivatives,Trilipix
inclisiran,"hives , severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Inclisiran may cause serious side effects. Call your doctor at once if you have: pain and burning when you urinate. Common side effects of inclisiran may include: redness, pain, or bruising where an injection was given; pain in your legs and arms; diarrhea ; breathing problems, bronchitis; joint pain; or pain and burning when you urinate.",inclisiran,Miscellaneous antihyperlipidemic agents,Leqvio
lomitapide,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have signs of liver problems , such as: nausea, vomiting, upper stomach pain; loss of appetite; swelling around your midsection; flu-like symptoms, tiredness; dark urine, clay-colored stools; or jaundice (yellowing of the skin or eyes). Common side effects of lomitapide may include: stomach cramps; nausea, vomiting; indigestion ; or diarrhea.",lomitapide,Miscellaneous antihyperlipidemic agents,Juxtapid
Zypitamag,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, Zypitamag can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: confusion, memory problems; muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; kidney problems-- vomiting , pain in your side or lower back, little or no urinating, swelling, rapid weight gain; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of Zypitamag may include: muscle pain; pain in your arms or legs; back pain ; or diarrhea , constipation .",pitavastatin,Statins,Livalo
diphenhydramine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using diphenhydramine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; painful or difficult urination; little or no urinating; confusion, feeling like you might pass out; or tightness in your neck or jaw, uncontrollable movements of your tongue. Common diphenhydramine side effects may include: dizziness, drowsiness, loss of coordination; dry mouth, nose, or throat; constipation, upset stomach; dry eyes, blurred vision; or day-time drowsiness or ""hangover"" feeling after night-time use.",diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics","Allermax, Banophen, Benadryl, Compoz Nighttime Sleep Aid, Diphedryl, Diphenhist, Dytuss, Nytol QuickCaps, PediaCare Children's Allergy, Q-Dryl, QlearQuil Nightitme Allergy Relief, Quenalin, Scot-Tussin Allergy Relief Formula, Siladryl Allergy, Silphen Cough, Simply Sleep, Sleepinal, Sominex, Tranquil, Twilite, Unisom Sleepgels Maximum Strength, Valu-Dryl, Vanamine PD, Z-Sleep, ZzzQuil, plus many others"
Vicks NyQuil Cold & Flu Nighttime Relief,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: severe headache, seizure (convulsions); fast, pounding, or uneven heartbeats; confusion, hallucinations, severe dizziness or drowsiness, slow or shallow breathing; tremor, restless muscle movements; little or no urinating; flu symptoms, easy bruising, unusual bleeding, pale skin, weakness, feeling light-headed; or nausea, pain in your upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of Nyquil Cold & Flu may include: headache, sleep problems ( insomnia ); upset stomach , diarrhea or constipation ; dry eyes, blurred vision, dry mouth or nose; mild dizziness or drowsiness, trouble concentrating; feeling restless or excited (especially in children); or mild skin rash .","acetaminophen, dextromethorphan, and doxylamine",Upper respiratory combinations,"Coricidin HBP Nighttime Multi-Symptom Cold, Robitussin Peak Cold Nighttime Cold + Flu, Tylenol Cold & Cough Nighttime Cool Burst, Tylenol Warming Cough & Sore Throat Nightime"
chlorpheniramine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Chlorpheniramine may cause serious side effects. Stop using chlorpheniramine and call your doctor at once if you have: fast or uneven heart rate; mood changes; tremor, seizure (convulsions); easy bruising or bleeding, unusual weakness; feeling short of breath; or little or no urinating. Common side effects of chlorpheniramine may include: dizziness , drowsiness; dry mouth, nose, or throat; constipation ; blurred vision; or feeling nervous or restless.",chlorpheniramine,Antihistamines,"Aller-Chlor, Allergy Relief, C.P.M., Chlo-Amine, Chlor-Mal, ChlorTan, Chlor-Trimeton, Ed ChlorPed, Ed-Chlor Ped Jr, Ed-Chlortan, PediaTan, Triaminic Allergy, Wal-finate, Chlor-Phenit, Ridramin, Allergy Relief (Chlorpheniramine), Chlor-Al Rel, Chlor-Phen, Chlorphen, Efidac-24 Chlorpheniramine, Chlor-Trimeton Allergy SR, QDALL AR, P-Tann, Chlorpheniramine (Allergy), Pediox-S, Ed Chlor-Tan, TanaHist-PD, Pharbechlor, Allergy Time, Chlorphen SR"
Vicks DayQuil Severe Cold & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, fast, slow, or uneven heart rate; severe dizziness , feeling like you might pass out; mood changes, confusion, hallucinations; tremor, seizure (convulsions); fever; urinating less than usual or not at all; nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, uneven heartbeats, seizure). Common side effects of DayQuil Severe Cold & Flu may include: dizziness, weakness; mild headache; mild nausea, diarrhea , upset stomach ; dry mouth, nose, or throat; feeling nervous, restless, irritable, or anxious; or sleep problems ( insomnia ).","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine",Upper respiratory combinations,"Mucinex Fast-Max Severe Cold, Sudafed PE Cold & Cough, Tylenol Cold & Flu Severe, Tylenol Cold Multi-Symptom Severe"
Vicks Dayquil Cold & Flu Relief,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. Stop using DayQuil Cold & Flu and call your doctor at once if you have: chest pain, fast, slow, or uneven heart rate; severe dizziness , feeling like you might pass out; mood changes, confusion, hallucinations, seizure (convulsions); little or no urinating; nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, uneven heartbeats, seizure). Common side effects of DayQuil Cold & Flu may include: dizziness, weakness, mild headache; diarrhea , upset stomach ; dry mouth, nose, or throat; feeling nervous, restless, irritable, or anxious; or sleep problems ( insomnia ).","acetaminophen, dextromethorphan, and phenylephrine",Upper respiratory combinations,"Mapap Cold Formula, Robitussin Peak Cold Daytime Cold + Flu, Sudafed PE Pressure+Pain+Cough, Theraflu Daytime Severe Cold & Cough, Theraflu Warming Severe Cold Daytime, Tylenol Cold Multi-Symptom Daytime"
Tylenol Cold & Flu Severe,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, fast, slow, or uneven heart rate; severe dizziness , feeling like you might pass out; mood changes, confusion, hallucinations; tremor, seizure (convulsions); fever; urinating less than usual or not at all; nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, uneven heartbeats, seizure). Common side effects of Tylenol Cold & Flu Severe may include: dizziness, weakness; mild headache; mild nausea, diarrhea , upset stomach ; dry mouth, nose, or throat; feeling nervous, restless, irritable, or anxious; or sleep problems ( insomnia ).","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine",Upper respiratory combinations,"Mucinex Fast-Max Severe Cold, Sudafed PE Cold & Cough, Tylenol Cold & Flu Severe, Tylenol Cold Multi-Symptom Severe"
Vicks VapoRub,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may be more likely, and you may have none at all.","camphor, eucalyptus, and menthol topical",Topical rubefacient,Avedana Medicated Chest Rub
Coricidin HBP Maximum Strength Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: severe headache, seizure (convulsions); fast, pounding, or uneven heartbeats; confusion, hallucinations, severe dizziness or drowsiness, slow or shallow breathing; tremor, restless muscle movements; little or no urination; flu symptoms, easy bruising, unusual bleeding, pale skin, weakness, feeling light-headed; or nausea, pain in your upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Side effects such as dry mouth, constipation , and confusion may be more likely in older adults. Common side effects of Coricidin HBP Maximum Strength Flu may include: headache, sleep problems ( insomnia ); upset stomach , diarrhea or constipation; dry eyes, blurred vision, dry mouth or nose; mild dizziness or drowsiness, trouble concentrating; feeling restless or excited (especially in children); or mild skin rash .","acetaminophen, chlorpheniramine, and dextromethorphan",Upper respiratory combinations,Triaminic Multi-Symptom Fever
Theraflu Nighttime Severe Cold & Cough,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe drowsiness; painful or difficult urination; dizziness , trouble sleeping, nervousness ; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of Theraflu Severe Cold & Cough Nighttime may include: drowsiness; dry eyes, blurred vision; dry mouth, nose, or throat; constipation ; or feeling restless or excited (especially in children).","acetaminophen, diphenhydramine, and phenylephrine",Upper respiratory combinations,Sudafed PE Severe Cold
acetaminophen / chlorpheniramine / phenylephrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking acetaminophen, chlorpheniramine, and phenylephrine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, rapid pulse, fast or uneven heart rate; confusion, hallucinations, severe nervousness ; tremor, seizure (convulsions); easy bruising or bleeding, unusual weakness; little or no urinating; nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, shortness of breath, uneven heartbeats, seizure). Side effects such as dry mouth, constipation , and confusion may be more likely in older adults. Common side effects of acetaminophen, chlorpheniramine, and phenylephrine may include: dizziness , drowsiness; mild headache, blurred vision; dry mouth, nose, or throat; constipation; feeling nervous; or sleep problems ( insomnia );","acetaminophen, chlorpheniramine, and phenylephrine",Upper respiratory combinations,"Alka-Seltzer Plus Cold, Dristan Cold Multi Symptom Formula, Tylenol Allergy Multi-Symptom, Tylenol Children's Plus Cold, Tylenol Sinus Congestion Nighttime, Gendecon, Protid, Dryphen, Comtrex Severe Cold and Sinus, Comtrex Flu Therapy, Sinus Congestion and Pain Nighttime, Allergy Relief Multi-Symptom, Tylenol Sinus Congestion-Pain Cool Burst, Norel AD, Relief-PE, Contact Cold and Flu Night"
